NUMERO,NOMRE,TIPO_1,TIPO_2,PUNTOS_DE_VIDA,PUNTOS_ATAQUE,PUNTOS_DEFENSA,PUNTOS_ATAQUE_ESPECIAL,PUNTO_DEFENSA_ESPECIAL,PUNTOS_VELOCIDAD,NOMBRE_GENERATIONS,LEGENDARIO
1,Bulbasaur,Planta,Veneno,45,49,49,65,65,45,1,FALSO
2,Ivysaur,Planta,Veneno,60,62,63,80,80,60,1,FALSO
3,Venusaur,Planta,Veneno,80,82,83,100,100,80,1,FALSO
4,Mega Venusaur,Planta,Veneno,80,100,123,122,120,80,1,FALSO
5,Charmander,Fuego,,39,52,43,60,50,65,1,FALSO
6,Charmeleon,Fuego,,58,64,58,80,65,80,1,FALSO
7,Charizard,Fuego,Volador,78,84,78,109,85,100,1,FALSO
8,Mega Charizard X,Fuego,Dragon,78,130,111,130,85,100,1,FALSO
9,Mega Charizard Y,Fuego,Volador,78,104,78,159,115,100,1,FALSO
10,Squirtle,Agua,,44,48,65,50,64,43,1,FALSO
11,Wartortle,Agua,,59,63,80,65,80,58,1,FALSO
12,Blastoise,Agua,,79,83,100,85,105,78,1,FALSO
13,Mega Blastoise,Agua,,79,103,120,135,115,78,1,FALSO
14,Caterpie,Bicho,,45,30,35,20,20,45,1,FALSO
15,Metapod,Bicho,,50,20,55,25,25,30,1,FALSO
16,Butterfree,Bicho,Volador,60,45,50,90,80,70,1,FALSO
17,Weedle,Bicho,Veneno,40,35,30,20,20,50,1,FALSO
18,Kakuna,Bicho,Veneno,45,25,50,25,25,35,1,FALSO
19,Beedrill,Bicho,Veneno,65,90,40,45,80,75,1,FALSO
20,Mega Beedrill,Bicho,Veneno,65,150,40,15,80,145,1,FALSO
21,Pidgey,Normal,Volador,40,45,40,35,35,56,1,FALSO
22,Pidgeotto,Normal,Volador,63,60,55,50,50,71,1,FALSO
23,Pidgeot,Normal,Volador,83,80,75,70,70,101,1,FALSO
24,Mega Pidgeot,Normal,Volador,83,80,80,135,80,121,1,FALSO
25,Rattata,Normal,,30,56,35,25,35,72,1,FALSO
26,Raticate,Normal,,55,81,60,50,70,97,1,FALSO
27,Spearow,Normal,Volador,40,60,30,31,31,70,1,FALSO
28,Fearow,Normal,Volador,65,90,65,61,61,100,1,FALSO
29,Ekans,Veneno,,35,60,44,40,54,55,1,FALSO
30,Arbok,Veneno,,60,85,69,65,79,80,1,FALSO
31,Pikachu,Electrico,,35,55,40,50,50,90,1,FALSO
32,Raichu,Electrico,,60,90,55,90,80,110,1,FALSO
33,Sandshrew,Tierra,,50,75,85,20,30,40,1,FALSO
34,Sandslash,Tierra,,75,100,110,45,55,65,1,FALSO
35,Nidoran macho,Veneno,,55,47,52,40,40,41,1,FALSO
36,Nidorina,Veneno,,70,62,67,55,55,56,1,FALSO
37,Nidoqueen,Veneno,Tierra,90,92,87,75,85,76,1,FALSO
38,Nidoran hembra,Veneno,,46,57,40,40,40,50,1,FALSO
39,Nidorino,Veneno,,61,72,57,55,55,65,1,FALSO
40,Nidoking,Veneno,Tierra,81,102,77,85,75,85,1,FALSO
41,Clefairy,Hada,,70,45,48,60,65,35,1,FALSO
42,Clefable,Hada,,95,70,73,95,90,60,1,FALSO
43,Vulpix,Fuego,,38,41,40,50,65,65,1,FALSO
44,Ninetales,Fuego,,73,76,75,81,100,100,1,FALSO
45,Jigglypuff,Normal,Hada,115,45,20,45,25,20,1,FALSO
46,Wigglytuff,Normal,Hada,140,70,45,85,50,45,1,FALSO
47,Zubat,Veneno,Volador,40,45,35,30,40,55,1,FALSO
48,Golbat,Veneno,Volador,75,80,70,65,75,90,1,FALSO
49,Oddish,Planta,Veneno,45,50,55,75,65,30,1,FALSO
50,Gloom,Planta,Veneno,60,65,70,85,75,40,1,FALSO
51,Vileplume,Planta,Veneno,75,80,85,110,90,50,1,FALSO
52,Paras,Bicho,Planta,35,70,55,45,55,25,1,FALSO
53,Parasect,Bicho,Planta,60,95,80,60,80,30,1,FALSO
54,Venonat,Bicho,Veneno,60,55,50,40,55,45,1,FALSO
55,Venomoth,Bicho,Veneno,70,65,60,90,75,90,1,FALSO
56,Diglett,Tierra,,10,55,25,35,45,95,1,FALSO
57,Dugtrio,Tierra,,35,80,50,50,70,120,1,FALSO
58,Meowth,Normal,,40,45,35,40,40,90,1,FALSO
59,Persian,Normal,,65,70,60,65,65,115,1,FALSO
60,Psyduck,Agua,,50,52,48,65,50,55,1,FALSO
61,Golduck,Agua,,80,82,78,95,80,85,1,FALSO
62,Mankey,Combate,,40,80,35,35,45,70,1,FALSO
63,Primeape,Combate,,65,105,60,60,70,95,1,FALSO
64,Growlithe,Fuego,,55,70,45,70,50,60,1,FALSO
65,Arcanine,Fuego,,90,110,80,100,80,95,1,FALSO
66,Poliwag,Agua,,40,50,40,40,40,90,1,FALSO
67,Poliwhirl,Agua,,65,65,65,50,50,90,1,FALSO
68,Poliwrath,Agua,Combate,90,95,95,70,90,70,1,FALSO
69,Abra,Psiquico,,25,20,15,105,55,90,1,FALSO
70,Kadabra,Psiquico,,40,35,30,120,70,105,1,FALSO
71,Alakazam,Psiquico,,55,50,45,135,95,120,1,FALSO
72,Mega Alakazam,Psiquico,,55,50,65,175,95,150,1,FALSO
73,Machop,Combate,,70,80,50,35,35,35,1,FALSO
74,Machoke,Combate,,80,100,70,50,60,45,1,FALSO
75,Machamp,Combate,,90,130,80,65,85,55,1,FALSO
76,Bellsprout,Planta,Veneno,50,75,35,70,30,40,1,FALSO
77,Weepinbell,Planta,Veneno,65,90,50,85,45,55,1,FALSO
78,Victreebel,Planta,Veneno,80,105,65,100,70,70,1,FALSO
79,Tentacool,Agua,Veneno,40,40,35,50,100,70,1,FALSO
80,Tentacruel,Agua,Veneno,80,70,65,80,120,100,1,FALSO
81,Geodude,Roca,Tierra,40,80,100,30,30,20,1,FALSO
82,Graveler,Roca,Tierra,55,95,115,45,45,35,1,FALSO
83,Golem,Roca,Tierra,80,120,130,55,65,45,1,FALSO
84,Ponyta,Fuego,,50,85,55,65,65,90,1,FALSO
